GeneID	PathwayID	Description	SYMBOL	GENENAME
3098	hsa00010	Glycolysis / Gluconeogenesis	HK1	hexokinase 1
3099	hsa00010	Glycolysis / Gluconeogenesis	HK2	hexokinase 2
3101	hsa00010	Glycolysis / Gluconeogenesis	HK3	hexokinase 3
387712	hsa00010	Glycolysis / Gluconeogenesis	ENO4	enolase 4
3939	hsa00010	Glycolysis / Gluconeogenesis	LDHA	lactate dehydrogenase A
3945	hsa00010	Glycolysis / Gluconeogenesis	LDHB	lactate dehydrogenase B
3948	hsa00010	Glycolysis / Gluconeogenesis	LDHC	lactate dehydrogenase C
441531	hsa00010	Glycolysis / Gluconeogenesis	PGAM4	phosphoglycerate mutase family member 4
501	hsa00010	Glycolysis / Gluconeogenesis	ALDH7A1	aldehyde dehydrogenase 7 family member A1
5105	hsa00010	Glycolysis / Gluconeogenesis	PCK1	phosphoenolpyruvate carboxykinase 1
5106	hsa00010	Glycolysis / Gluconeogenesis	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
5160	hsa00010	Glycolysis / Gluconeogenesis	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1
5161	hsa00010	Glycolysis / Gluconeogenesis	PDHA2	pyruvate dehydrogenase E1 subunit alpha 2
5162	hsa00010	Glycolysis / Gluconeogenesis	PDHB	pyruvate dehydrogenase E1 subunit beta
5211	hsa00010	Glycolysis / Gluconeogenesis	PFKL	phosphofructokinase, liver type
5213	hsa00010	Glycolysis / Gluconeogenesis	PFKM	phosphofructokinase, muscle
5214	hsa00010	Glycolysis / Gluconeogenesis	PFKP	phosphofructokinase, platelet
5223	hsa00010	Glycolysis / Gluconeogenesis	PGAM1	phosphoglycerate mutase 1
5224	hsa00010	Glycolysis / Gluconeogenesis	PGAM2	phosphoglycerate mutase 2
5230	hsa00010	Glycolysis / Gluconeogenesis	PGK1	phosphoglycerate kinase 1
5232	hsa00010	Glycolysis / Gluconeogenesis	PGK2	phosphoglycerate kinase 2
5236	hsa00010	Glycolysis / Gluconeogenesis	PGM1	phosphoglucomutase 1
5313	hsa00010	Glycolysis / Gluconeogenesis	PKLR	pyruvate kinase L/R
5315	hsa00010	Glycolysis / Gluconeogenesis	PKM	pyruvate kinase M1/2
55276	hsa00010	Glycolysis / Gluconeogenesis	PGM2	phosphoglucomutase 2
55902	hsa00010	Glycolysis / Gluconeogenesis	ACSS2	acyl-CoA synthetase short chain family member 2
57818	hsa00010	Glycolysis / Gluconeogenesis	G6PC2	glucose-6-phosphatase catalytic subunit 2
669	hsa00010	Glycolysis / Gluconeogenesis	BPGM	bisphosphoglycerate mutase
7167	hsa00010	Glycolysis / Gluconeogenesis	TPI1	triosephosphate isomerase 1
80201	hsa00010	Glycolysis / Gluconeogenesis	HKDC1	hexokinase domain containing 1
83440	hsa00010	Glycolysis / Gluconeogenesis	ADPGK	ADP dependent glucokinase
84532	hsa00010	Glycolysis / Gluconeogenesis	ACSS1	acyl-CoA synthetase short chain family member 1
8789	hsa00010	Glycolysis / Gluconeogenesis	FBP2	fructose-bisphosphatase 2
92483	hsa00010	Glycolysis / Gluconeogenesis	LDHAL6B	lactate dehydrogenase A like 6B
92579	hsa00010	Glycolysis / Gluconeogenesis	G6PC3	glucose-6-phosphatase catalytic subunit 3
9562	hsa00010	Glycolysis / Gluconeogenesis	MINPP1	multiple inositol-polyphosphate phosphatase 1
1431	hsa00020	Citrate cycle (TCA cycle)	CS	citrate synthase
1737	hsa00020	Citrate cycle (TCA cycle)	DLAT	dihydrolipoamide S-acetyltransferase
1738	hsa00020	Citrate cycle (TCA cycle)	DLD	dihydrolipoamide dehydrogenase
1743	hsa00020	Citrate cycle (TCA cycle)	DLST	dihydrolipoamide S-succinyltransferase
2271	hsa00020	Citrate cycle (TCA cycle)	FH	fumarate hydratase
3417	hsa00020	Citrate cycle (TCA cycle)	IDH1	isocitrate dehydrogenase (NADP(+)) 1
3418	hsa00020	Citrate cycle (TCA cycle)	IDH2	isocitrate dehydrogenase (NADP(+)) 2
3419	hsa00020	Citrate cycle (TCA cycle)	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
3420	hsa00020	Citrate cycle (TCA cycle)	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
3421	hsa00020	Citrate cycle (TCA cycle)	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma
4190	hsa00020	Citrate cycle (TCA cycle)	MDH1	malate dehydrogenase 1
4191	hsa00020	Citrate cycle (TCA cycle)	MDH2	malate dehydrogenase 2
47	hsa00020	Citrate cycle (TCA cycle)	ACLY	ATP citrate lyase
48	hsa00020	Citrate cycle (TCA cycle)	ACO1	aconitase 1
4967	hsa00020	Citrate cycle (TCA cycle)	OGDH	oxoglutarate dehydrogenase
50	hsa00020	Citrate cycle (TCA cycle)	ACO2	aconitase 2
5091	hsa00020	Citrate cycle (TCA cycle)	PC	pyruvate carboxylase
5105	hsa00020	Citrate cycle (TCA cycle)	PCK1	phosphoenolpyruvate carboxykinase 1
5106	hsa00020	Citrate cycle (TCA cycle)	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
5160	hsa00020	Citrate cycle (TCA cycle)	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1
5161	hsa00020	Citrate cycle (TCA cycle)	PDHA2	pyruvate dehydrogenase E1 subunit alpha 2
5162	hsa00020	Citrate cycle (TCA cycle)	PDHB	pyruvate dehydrogenase E1 subunit beta
55753	hsa00020	Citrate cycle (TCA cycle)	OGDHL	oxoglutarate dehydrogenase L
6389	hsa00020	Citrate cycle (TCA cycle)	SDHA	succinate dehydrogenase complex flavoprotein subunit A
6390	hsa00020	Citrate cycle (TCA cycle)	SDHB	succinate dehydrogenase complex iron sulfur subunit B
6391	hsa00020	Citrate cycle (TCA cycle)	SDHC	succinate dehydrogenase complex subunit C
6392	hsa00020	Citrate cycle (TCA cycle)	SDHD	succinate dehydrogenase complex subunit D
8801	hsa00020	Citrate cycle (TCA cycle)	SUCLG2	succinate-CoA ligase GDP-forming subunit beta
8802	hsa00020	Citrate cycle (TCA cycle)	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha
8803	hsa00020	Citrate cycle (TCA cycle)	SUCLA2	succinate-CoA ligase ADP-forming subunit beta
132158	hsa00030	Pentose phosphate pathway	GLYCTK	glycerate kinase
2203	hsa00030	Pentose phosphate pathway	FBP1	fructose-bisphosphatase 1
221823	hsa00030	Pentose phosphate pathway	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1 like 1
226	hsa00030	Pentose phosphate pathway	ALDOA	aldolase, fructose-bisphosphate A
229	hsa00030	Pentose phosphate pathway	ALDOB	aldolase, fructose-bisphosphate B
22934	hsa00030	Pentose phosphate pathway	RPIA	ribose 5-phosphate isomerase A
230	hsa00030	Pentose phosphate pathway	ALDOC	aldolase, fructose-bisphosphate C
23729	hsa00030	Pentose phosphate pathway	SHPK	sedoheptulokinase
2539	hsa00030	Pentose phosphate pathway	G6PD	glucose-6-phosphate dehydrogenase
25796	hsa00030	Pentose phosphate pathway	PGLS	6-phosphogluconolactonase
2821	hsa00030	Pentose phosphate pathway	GPI	glucose-6-phosphate isomerase
414328	hsa00030	Pentose phosphate pathway	IDNK	IDNK gluconokinase
51071	hsa00030	Pentose phosphate pathway	DERA	deoxyribose-phosphate aldolase
5211	hsa00030	Pentose phosphate pathway	PFKL	phosphofructokinase, liver type
5213	hsa00030	Pentose phosphate pathway	PFKM	phosphofructokinase, muscle
5214	hsa00030	Pentose phosphate pathway	PFKP	phosphofructokinase, platelet
5226	hsa00030	Pentose phosphate pathway	PGD	phosphogluconate dehydrogenase
5236	hsa00030	Pentose phosphate pathway	PGM1	phosphoglucomutase 1
55276	hsa00030	Pentose phosphate pathway	PGM2	phosphoglucomutase 2
5631	hsa00030	Pentose phosphate pathway	PRPS1	phosphoribosyl pyrophosphate synthetase 1
5634	hsa00030	Pentose phosphate pathway	PRPS2	phosphoribosyl pyrophosphate synthetase 2
6120	hsa00030	Pentose phosphate pathway	RPE	ribulose-5-phosphate-3-epimerase
64080	hsa00030	Pentose phosphate pathway	RBKS	ribokinase
6888	hsa00030	Pentose phosphate pathway	TALDO1	transaldolase 1
7086	hsa00030	Pentose phosphate pathway	TKT	transketolase
729020	hsa00030	Pentose phosphate pathway	RPEL1	ribulose-5-phosphate-3-epimerase like 1
8277	hsa00030	Pentose phosphate pathway	TKTL1	transketolase like 1
84076	hsa00030	Pentose phosphate pathway	TKTL2	transketolase like 2
8789	hsa00030	Pentose phosphate pathway	FBP2	fructose-bisphosphatase 2
9104	hsa00030	Pentose phosphate pathway	RGN	regucalcin
9563	hsa00030	Pentose phosphate pathway	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
10327	hsa00040	Pentose and glucuronate interconversions	AKR1A1	aldo-keto reductase family 1 member A1
10720	hsa00040	Pentose and glucuronate interconversions	UGT2B11	UDP glucuronosyltransferase family 2 member B11
10941	hsa00040	Pentose and glucuronate interconversions	UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus
231	hsa00040	Pentose and glucuronate interconversions	AKR1B1	aldo-keto reductase family 1 member B
27294	hsa00040	Pentose and glucuronate interconversions	DHDH	dihydrodiol dehydrogenase
2990	hsa00040	Pentose and glucuronate interconversions	GUSB	glucuronidase beta
441282	hsa00040	Pentose and glucuronate interconversions	AKR1B15	aldo-keto reductase family 1 member B15
51084	hsa00040	Pentose and glucuronate interconversions	CRYL1	crystallin lambda 1
51181	hsa00040	Pentose and glucuronate interconversions	DCXR	dicarbonyl and L-xylulose reductase
54490	hsa00040	Pentose and glucuronate interconversions	UGT2B28	UDP glucuronosyltransferase family 2 member B28
54575	hsa00040	Pentose and glucuronate interconversions	UGT1A10	UDP glucuronosyltransferase family 1 member A10
54576	hsa00040	Pentose and glucuronate interconversions	UGT1A8	UDP glucuronosyltransferase family 1 member A8
54577	hsa00040	Pentose and glucuronate interconversions	UGT1A7	UDP glucuronosyltransferase family 1 member A7
54578	hsa00040	Pentose and glucuronate interconversions	UGT1A6	UDP glucuronosyltransferase family 1 member A6
54579	hsa00040	Pentose and glucuronate interconversions	UGT1A5	UDP glucuronosyltransferase family 1 member A5
54600	hsa00040	Pentose and glucuronate interconversions	UGT1A9	UDP glucuronosyltransferase family 1 member A9
54657	hsa00040	Pentose and glucuronate interconversions	UGT1A4	UDP glucuronosyltransferase family 1 member A4
54658	hsa00040	Pentose and glucuronate interconversions	UGT1A1	UDP glucuronosyltransferase family 1 member A1
54659	hsa00040	Pentose and glucuronate interconversions	UGT1A3	UDP glucuronosyltransferase family 1 member A3
55277	hsa00040	Pentose and glucuronate interconversions	FGGY	FGGY carbohydrate kinase domain containing
57016	hsa00040	Pentose and glucuronate interconversions	AKR1B10	aldo-keto reductase family 1 member B10
574537	hsa00040	Pentose and glucuronate interconversions	UGT2A2	UDP glucuronosyltransferase family 2 member A2
6120	hsa00040	Pentose and glucuronate interconversions	RPE	ribulose-5-phosphate-3-epimerase
6652	hsa00040	Pentose and glucuronate interconversions	SORD	sorbitol dehydrogenase
729020	hsa00040	Pentose and glucuronate interconversions	RPEL1	ribulose-5-phosphate-3-epimerase like 1
729920	hsa00040	Pentose and glucuronate interconversions	CRPPA	CDP-L-ribitol pyrophosphorylase A
7358	hsa00040	Pentose and glucuronate interconversions	UGDH	UDP-glucose 6-dehydrogenase
7360	hsa00040	Pentose and glucuronate interconversions	UGP2	UDP-glucose pyrophosphorylase 2
7363	hsa00040	Pentose and glucuronate interconversions	UGT2B4	UDP glucuronosyltransferase family 2 member B4
7364	hsa00040	Pentose and glucuronate interconversions	UGT2B7	UDP glucuronosyltransferase family 2 member B7
7365	hsa00040	Pentose and glucuronate interconversions	UGT2B10	UDP glucuronosyltransferase family 2 member B10
7366	hsa00040	Pentose and glucuronate interconversions	UGT2B15	UDP glucuronosyltransferase family 2 member B15
7367	hsa00040	Pentose and glucuronate interconversions	UGT2B17	UDP glucuronosyltransferase family 2 member B17
79799	hsa00040	Pentose and glucuronate interconversions	UGT2A3	UDP glucuronosyltransferase family 2 member A3
9365	hsa00040	Pentose and glucuronate interconversions	KL	klotho
9942	hsa00040	Pentose and glucuronate interconversions	XYLB	xylulokinase
197258	hsa00051	Fructose and mannose metabolism	FCSK	fucose kinase
2203	hsa00051	Fructose and mannose metabolism	FBP1	fructose-bisphosphatase 1
226	hsa00051	Fructose and mannose metabolism	ALDOA	aldolase, fructose-bisphosphate A
229	hsa00051	Fructose and mannose metabolism	ALDOB	aldolase, fructose-bisphosphate B
230	hsa00051	Fructose and mannose metabolism	ALDOC	aldolase, fructose-bisphosphate C
231	hsa00051	Fructose and mannose metabolism	AKR1B1	aldo-keto reductase family 1 member B
26007	hsa00051	Fructose and mannose metabolism	TKFC	triokinase and FMN cyclase
2762	hsa00051	Fructose and mannose metabolism	GMDS	GDP-mannose 4,6-dehydratase
29925	hsa00051	Fructose and mannose metabolism	GMPPB	GDP-mannose pyrophosphorylase B
29926	hsa00051	Fructose and mannose metabolism	GMPPA	GDP-mannose pyrophosphorylase A
3098	hsa00051	Fructose and mannose metabolism	HK1	hexokinase 1
3099	hsa00051	Fructose and mannose metabolism	HK2	hexokinase 2
3101	hsa00051	Fructose and mannose metabolism	HK3	hexokinase 3
3795	hsa00051	Fructose and mannose metabolism	KHK	ketohexokinase
4351	hsa00051	Fructose and mannose metabolism	MPI	mannose phosphate isomerase
441282	hsa00051	Fructose and mannose metabolism	AKR1B15	aldo-keto reductase family 1 member B15
51171	hsa00051	Fructose and mannose metabolism	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
5207	hsa00051	Fructose and mannose metabolism	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
5208	hsa00051	Fructose and mannose metabolism	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
5209	hsa00051	Fructose and mannose metabolism	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
5210	hsa00051	Fructose and mannose metabolism	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
5211	hsa00051	Fructose and mannose metabolism	PFKL	phosphofructokinase, liver type
5213	hsa00051	Fructose and mannose metabolism	PFKM	phosphofructokinase, muscle
5214	hsa00051	Fructose and mannose metabolism	PFKP	phosphofructokinase, platelet
5372	hsa00051	Fructose and mannose metabolism	PMM1	phosphomannomutase 1
5373	hsa00051	Fructose and mannose metabolism	PMM2	phosphomannomutase 2
55556	hsa00051	Fructose and mannose metabolism	ENOSF1	enolase superfamily member 1
57016	hsa00051	Fructose and mannose metabolism	AKR1B10	aldo-keto reductase family 1 member B10
57103	hsa00051	Fructose and mannose metabolism	TIGAR	TP53 induced glycolysis regulatory phosphatase
6652	hsa00051	Fructose and mannose metabolism	SORD	sorbitol dehydrogenase
7167	hsa00051	Fructose and mannose metabolism	TPI1	triosephosphate isomerase 1
7264	hsa00051	Fructose and mannose metabolism	GFUS	GDP-L-fucose synthase
80201	hsa00051	Fructose and mannose metabolism	HKDC1	hexokinase domain containing 1
8789	hsa00051	Fructose and mannose metabolism	FBP2	fructose-bisphosphatase 2
8790	hsa00051	Fructose and mannose metabolism	FPGT	fucose-1-phosphate guanylyltransferase
130589	hsa00052	Galactose metabolism	GALM	galactose mutarotase
231	hsa00052	Galactose metabolism	AKR1B1	aldo-keto reductase family 1 member B
2538	hsa00052	Galactose metabolism	G6PC1	glucose-6-phosphatase catalytic subunit 1
2548	hsa00052	Galactose metabolism	GAA	alpha glucosidase
2582	hsa00052	Galactose metabolism	GALE	UDP-galactose-4-epimerase
2584	hsa00052	Galactose metabolism	GALK1	galactokinase 1
2592	hsa00052	Galactose metabolism	GALT	galactose-1-phosphate uridylyltransferase
2595	hsa00052	Galactose metabolism	GANC	glucosidase alpha, neutral C
2645	hsa00052	Galactose metabolism	GCK	glucokinase
2683	hsa00052	Galactose metabolism	B4GALT1	beta-1,4-galactosyltransferase 1
2717	hsa00052	Galactose metabolism	GLA	galactosidase alpha
2720	hsa00052	Galactose metabolism	GLB1	galactosidase beta 1
3098	hsa00052	Galactose metabolism	HK1	hexokinase 1
3099	hsa00052	Galactose metabolism	HK2	hexokinase 2
3101	hsa00052	Galactose metabolism	HK3	hexokinase 3
3906	hsa00052	Galactose metabolism	LALBA	lactalbumin alpha
3938	hsa00052	Galactose metabolism	LCT	lactase
441282	hsa00052	Galactose metabolism	AKR1B15	aldo-keto reductase family 1 member B15
5211	hsa00052	Galactose metabolism	PFKL	phosphofructokinase, liver type
5213	hsa00052	Galactose metabolism	PFKM	phosphofructokinase, muscle
5214	hsa00052	Galactose metabolism	PFKP	phosphofructokinase, platelet
5236	hsa00052	Galactose metabolism	PGM1	phosphoglucomutase 1
55276	hsa00052	Galactose metabolism	PGM2	phosphoglucomutase 2
57016	hsa00052	Galactose metabolism	AKR1B10	aldo-keto reductase family 1 member B10
57818	hsa00052	Galactose metabolism	G6PC2	glucose-6-phosphatase catalytic subunit 2
6476	hsa00052	Galactose metabolism	SI	sucrase-isomaltase
7360	hsa00052	Galactose metabolism	UGP2	UDP-glucose pyrophosphorylase 2
80201	hsa00052	Galactose metabolism	HKDC1	hexokinase domain containing 1
8704	hsa00052	Galactose metabolism	B4GALT2	beta-1,4-galactosyltransferase 2
8972	hsa00052	Galactose metabolism	MGAM	maltase-glucoamylase
92579	hsa00052	Galactose metabolism	G6PC3	glucose-6-phosphatase catalytic subunit 3
93432	hsa00052	Galactose metabolism	MGAM2	maltase-glucoamylase 2 (putative)
10327	hsa00053	Ascorbate and aldarate metabolism	AKR1A1	aldo-keto reductase family 1 member A1
10720	hsa00053	Ascorbate and aldarate metabolism	UGT2B11	UDP glucuronosyltransferase family 2 member B11
10941	hsa00053	Ascorbate and aldarate metabolism	UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus
217	hsa00053	Ascorbate and aldarate metabolism	ALDH2	aldehyde dehydrogenase 2 family member
219	hsa00053	Ascorbate and aldarate metabolism	ALDH1B1	aldehyde dehydrogenase 1 family member B1
223	hsa00053	Ascorbate and aldarate metabolism	ALDH9A1	aldehyde dehydrogenase 9 family member A1
224	hsa00053	Ascorbate and aldarate metabolism	ALDH3A2	aldehyde dehydrogenase 3 family member A2
2990	hsa00053	Ascorbate and aldarate metabolism	GUSB	glucuronidase beta
501	hsa00053	Ascorbate and aldarate metabolism	ALDH7A1	aldehyde dehydrogenase 7 family member A1
51171	hsa00053	Ascorbate and aldarate metabolism	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
54490	hsa00053	Ascorbate and aldarate metabolism	UGT2B28	UDP glucuronosyltransferase family 2 member B28
54575	hsa00053	Ascorbate and aldarate metabolism	UGT1A10	UDP glucuronosyltransferase family 1 member A10
54576	hsa00053	Ascorbate and aldarate metabolism	UGT1A8	UDP glucuronosyltransferase family 1 member A8
54577	hsa00053	Ascorbate and aldarate metabolism	UGT1A7	UDP glucuronosyltransferase family 1 member A7
54578	hsa00053	Ascorbate and aldarate metabolism	UGT1A6	UDP glucuronosyltransferase family 1 member A6
54579	hsa00053	Ascorbate and aldarate metabolism	UGT1A5	UDP glucuronosyltransferase family 1 member A5
54600	hsa00053	Ascorbate and aldarate metabolism	UGT1A9	UDP glucuronosyltransferase family 1 member A9
54657	hsa00053	Ascorbate and aldarate metabolism	UGT1A4	UDP glucuronosyltransferase family 1 member A4
54658	hsa00053	Ascorbate and aldarate metabolism	UGT1A1	UDP glucuronosyltransferase family 1 member A1
54659	hsa00053	Ascorbate and aldarate metabolism	UGT1A3	UDP glucuronosyltransferase family 1 member A3
55586	hsa00053	Ascorbate and aldarate metabolism	MIOX	myo-inositol oxygenase
574537	hsa00053	Ascorbate and aldarate metabolism	UGT2A2	UDP glucuronosyltransferase family 2 member A2
7358	hsa00053	Ascorbate and aldarate metabolism	UGDH	UDP-glucose 6-dehydrogenase
7363	hsa00053	Ascorbate and aldarate metabolism	UGT2B4	UDP glucuronosyltransferase family 2 member B4
7364	hsa00053	Ascorbate and aldarate metabolism	UGT2B7	UDP glucuronosyltransferase family 2 member B7
7365	hsa00053	Ascorbate and aldarate metabolism	UGT2B10	UDP glucuronosyltransferase family 2 member B10
7366	hsa00053	Ascorbate and aldarate metabolism	UGT2B15	UDP glucuronosyltransferase family 2 member B15
7367	hsa00053	Ascorbate and aldarate metabolism	UGT2B17	UDP glucuronosyltransferase family 2 member B17
79799	hsa00053	Ascorbate and aldarate metabolism	UGT2A3	UDP glucuronosyltransferase family 2 member A3
9104	hsa00053	Ascorbate and aldarate metabolism	RGN	regucalcin
9365	hsa00053	Ascorbate and aldarate metabolism	KL	klotho
109703458	hsa00061	Fatty acid biosynthesis	HTD2	hydroxyacyl-thioester dehydratase type 2
197322	hsa00061	Fatty acid biosynthesis	ACSF3	acyl-CoA synthetase family member 3
2180	hsa00061	Fatty acid biosynthesis	ACSL1	acyl-CoA synthetase long chain family member 1
2181	hsa00061	Fatty acid biosynthesis	ACSL3	acyl-CoA synthetase long chain family member 3
2182	hsa00061	Fatty acid biosynthesis	ACSL4	acyl-CoA synthetase long chain family member 4
2194	hsa00061	Fatty acid biosynthesis	FASN	fatty acid synthase
23205	hsa00061	Fatty acid biosynthesis	ACSBG1	acyl-CoA synthetase bubblegum family member 1
23305	hsa00061	Fatty acid biosynthesis	ACSL6	acyl-CoA synthetase long chain family member 6
27349	hsa00061	Fatty acid biosynthesis	MCAT	malonyl-CoA-acyl carrier protein transacylase
31	hsa00061	Fatty acid biosynthesis	ACACA	acetyl-CoA carboxylase alpha
32	hsa00061	Fatty acid biosynthesis	ACACB	acetyl-CoA carboxylase beta
51102	hsa00061	Fatty acid biosynthesis	MECR	mitochondrial trans-2-enoyl-CoA reductase
51703	hsa00061	Fatty acid biosynthesis	ACSL5	acyl-CoA synthetase long chain family member 5
54995	hsa00061	Fatty acid biosynthesis	OXSM	3-oxoacyl-ACP synthase, mitochondrial
55301	hsa00061	Fatty acid biosynthesis	OLAH	oleoyl-ACP hydrolase
7923	hsa00061	Fatty acid biosynthesis	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8
81616	hsa00061	Fatty acid biosynthesis	ACSBG2	acyl-CoA synthetase bubblegum family member 2
84869	hsa00061	Fatty acid biosynthesis	CBR4	carbonyl reductase 4
10449	hsa00062	Fatty acid elongation	ACAA2	acetyl-CoA acyltransferase 2
10965	hsa00062	Fatty acid elongation	ACOT2	acyl-CoA thioesterase 2
11332	hsa00062	Fatty acid elongation	ACOT7	acyl-CoA thioesterase 7
117145	hsa00062	Fatty acid elongation	THEM4	thioesterase superfamily member 4
122970	hsa00062	Fatty acid elongation	ACOT4	acyl-CoA thioesterase 4
153364	hsa00062	Fatty acid elongation	MBLAC2	metallo-beta-lactamase domain containing 2
1892	hsa00062	Fatty acid elongation	ECHS1	enoyl-CoA hydratase, short chain 1
201562	hsa00062	Fatty acid elongation	HACD2	3-hydroxyacyl-CoA dehydratase 2
284486	hsa00062	Fatty acid elongation	THEM5	thioesterase superfamily member 5
3030	hsa00062	Fatty acid elongation	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
3032	hsa00062	Fatty acid elongation	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
3033	hsa00062	Fatty acid elongation	HADH	hydroxyacyl-CoA dehydrogenase
401494	hsa00062	Fatty acid elongation	HACD4	3-hydroxyacyl-CoA dehydratase 4
51102	hsa00062	Fatty acid elongation	MECR	mitochondrial trans-2-enoyl-CoA reductase
51144	hsa00062	Fatty acid elongation	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12
51495	hsa00062	Fatty acid elongation	HACD3	3-hydroxyacyl-CoA dehydratase 3
54898	hsa00062	Fatty acid elongation	ELOVL2	ELOVL fatty acid elongase 2
5538	hsa00062	Fatty acid elongation	PPT1	palmitoyl-protein thioesterase 1
60481	hsa00062	Fatty acid elongation	ELOVL5	ELOVL fatty acid elongase 5
641371	hsa00062	Fatty acid elongation	ACOT1	acyl-CoA thioesterase 1
64834	hsa00062	Fatty acid elongation	ELOVL1	ELOVL fatty acid elongase 1
6785	hsa00062	Fatty acid elongation	ELOVL4	ELOVL fatty acid elongase 4
79071	hsa00062	Fatty acid elongation	ELOVL6	ELOVL fatty acid elongase 6
79993	hsa00062	Fatty acid elongation	ELOVL7	ELOVL fatty acid elongase 7
83401	hsa00062	Fatty acid elongation	ELOVL3	ELOVL fatty acid elongase 3
9200	hsa00062	Fatty acid elongation	HACD1	3-hydroxyacyl-CoA dehydratase 1
