Human	Mouse	Rat
BGLAP	Bglap	Bglap
BGN	Bgn	Bgn
BHMT	Bhmt	Bhmt
BICD1	Bicd1	Bicd1
BID	Bid	Bid
HRK	Hrk	Hrk
BIK	Bik	Bik
BCL2L11	Bcl2l11	Bcl2l11
FABP7	Fabp7	Fabp7
PRDM1	Prdm1	Prdm1
BLK	Blk	Blk
BLM	Blm	Blm
CXCR5	Cxcr5	Cxcr5
BMI1	Bmi1	Bmi1
BMP1	Bmp1	Bmp1
BMP10	Bmp10	Bmp10
BMP15	Bmp15	Bmp15
BMP2	Bmp2	Bmp2
BMP4	Bmp4	Bmp4
BMP5	Bmp5	Bmp5
BMP6	Bmp6	Bmp6
BMP7	Bmp7	Bmp7
BMP8A	Bmp8a	Bmp8a
BMP8B	Bmp8b	NA
GDF2	Gdf2	Gdf2
BMPR1A	Bmpr1a	Bmpr1a
BMPR1B	Bmpr1b	Bmpr1b
BMPR2	Bmpr2	Bmpr2
BMX	Bmx	Bmx
BNC1	Bnc1	Bnc1
BNIP2	Bnip2	Bnip2
BNIP3	Bnip3	Bnip3
BNIP3L	Bnip3l	Bnip3l
SMYD1	Smyd1	Smyd1
BOP1	Bop1	Bop1
BST1	Bst1	Bst1
BPGM	Bpgm	Bpgm
BRCA1	Brca1	Brca1
BRCA2	Brca2	Brca2
ZFP36L1	Zfp36l1	Zfp36l1
ZFP36L2	Zfp36l2	Zfp36l2
BRS3	Brs3	Brs3
BIRC6	Birc6	Birc6
CHIC1	Chic1	Chic1
BSG	Bsg	Bsg
BSN	Bsn	Bsn
BTC	Btc	Btc
KLF5	Klf5	Klf5
BTG1	Btg1	Btg1
BTG2	Btg2	Btg2
BTG3	Btg3	Btg3
BTK	Btk	Btk
BTN1A1	Btn1a1	Btn1a1
BTRC	Btrc	Btrc
BUB1	Bub1	Bub1
BUB1B	Bub1b	Bub1b
BUB3	Bub3	Bub3
COMMD3	Commd3	Commd3
TSPO	Tspo	Tspo
SERPING1	Serping1	Serping1
C1QA	C1qa	C1qa
C1QB	C1qb	C1qb
C1QBP	C1qbp	C1qbp
C1QC	C1qc	C1qc
C2	C2	C2
CIITA	Ciita	Ciita
C3	C3	C3
C3AR1	C3ar1	C3ar1
C5AR1	C5ar1	C5ar1
C6	C6	C6
C9	C9	C9
HYOU1	Hyou1	Hyou1
CAB39	Cab39	Cab39
CACNA1A	Cacna1a	Cacna1a
CACNA1B	Cacna1b	Cacna1b
CACNA1C	Cacna1c	Cacna1c
CACNA1D	Cacna1d	Cacna1d
CACNA1E	Cacna1e	Cacna1e
CACNA1G	Cacna1g	Cacna1g
CACNA1S	Cacna1s	Cacna1s
CACNA2D1	Cacna2d1	Cacna2d1
CACNA2D3	Cacna2d3	Cacna2d3
CACNB1	Cacnb1	Cacnb1
CACNB2	Cacnb2	Cacnb2
CACNB3	Cacnb3	Cacnb3
CACNB4	Cacnb4	Cacnb4
CACNG1	Cacng1	Cacng1
CACNG2	Cacng2	Cacng2
CACYBP	Cacybp	Cacybp
PDIA4	Pdia4	Pdia4
DDR1	Ddr1	Ddr1
ANXA2	Anxa2	Anxa2
CALB1	Calb1	Calb1
CALB2	Calb2	Calb2
S100G	S100g	S100g
CALCA	Calca	Calca
CALCR	Calcr	Calcr
CALM1	Calm1	Calm1
CALM2	Calm2	Calm2
CALM3	Calm3	Calm3
ASPM	Aspm	Aspm
CALR	Calr	Calr
CA8	Car8	Car8
CALU	Calu	Calu
CAMK2A	Camk2a	Camk2a
CAMK2B	Camk2b	Camk2b
CAMK2G	Camk2g	Camk2g
CAMK4	Camk4	Camk4
CAMLG	Caml	Camlg
CANX	Canx	Canx
CAP1	Cap1	Cap1
CAPG	Capg	Capg
CAPN1	Capn1	Capn1
CAPN2	Capn2	Capn2
CAPN3	Capn3	Capn3
CAPNS1	Capns1	Capns1
CAPN5	Capn5	Capn5
CAPN6	Capn6	Capn6
CAPN7	Capn7	Capn7
CAPZA1	Capza1	Capza1
CAPZA2	Capza2	Capza2
CAPZA3	Capza3	Capza3
CAPZB	Capzb	Capzb
CA1	Car1	Car1
CA11	Car11	Car11
CA2	Car2	Car2
CA3	Car3	Car3
CA4	Car4	Car4
CA5A	Car5a	Car5a
CA6	Car6	Car6
CA7	Car7	Car7
NR1I3	Nr1i3	Nr1i3
CAT	Cat	Cat
CASK	Cask	Cask
CASP14	Casp14	Casp14
CASP2	Casp2	Casp2
CASP3	Casp3	Casp3
CASP6	Casp6	Casp6
CASP7	Casp7	Casp7
CASP8	Casp8	Casp8
CASP9	Casp9	Casp9
CASQ1	Casq1	Casq1
CASQ2	Casq2	Casq2
CASR	Casr	Casr
CAST	Cast	Cast
CTNNA1	Ctnna1	Ctnna1
CTNNA2	Ctnna2	Ctnna2
CTNNB1	Ctnnb1	Ctnnb1
CTNND1	Ctnnd1	Ctnnd1
CAV1	Cav1	Cav1
CAV2	Cav2	Cav2
CAV3	Cav3	Cav3
RUNX2	Runx2	Runx2
RUNX1	Runx1	Runx1
RUNX1T1	Runx1t1	Runx1t1
CBFA2T2	Cbfa2t2	Cbfa2t2
CBFA2T3	Cbfa2t3	Cbfa2t3
RUNX3	Runx3	Runx3
CBFB	Cbfb	Cbfb
SERPINA6	Serpina6	Serpina6
CBL	Cbl	Cbl
CBLN1	Cbln1	Cbln1
CBLN2	Cbln2	Cbln2
SERPINH1	Serpinh1	Serpinh1
CBR1	Cbr1	Cbr1
CBS	Cbs	Cbs
CBX1	Cbx1	Cbx1
CBX2	Cbx2	Cbx2
CBX3	Cbx3	Cbx3
CBX4	Cbx4	Cbx4
CBX5	Cbx5	Cbx5
RB1CC1	Rb1cc1	Rb1cc1
CCK	Cck	Cck
CCKAR	Cckar	Cckar
CCKBR	Cckbr	Cckbr
CCNA1	Ccna1	Ccna1
CCNA2	Ccna2	Ccna2
CCNB2	Ccnb2	Ccnb2
CCND1	Ccnd1	Ccnd1
CCND2	Ccnd2	Ccnd2
CCND3	Ccnd3	Ccnd3
CCNE1	Ccne1	Ccne1
CCNE2	Ccne2	Ccne2
CCNF	Ccnf	Ccnf
CCNG1	Ccng1	Ccng1
CCNG2	Ccng2	Ccng2
CCNI	Ccni	Ccni
CCNK	Ccnk	Ccnk
CCNT1	Ccnt1	Ccnt1
NOCT	Noct	Noct
CCR6	Ccr6	Ccr6
CCS	Ccs	Ccs
CCT2	Cct2	Cct2
CCT3	Cct3	Cct3
CCT4	Cct4	Cct4
CCT5	Cct5	Cct5
CCT6A	Cct6a	Cct6a
CCT6B	Cct6b	Cct6b
CCT7	Cct7	Cct7
CCT8	Cct8	Cct8
CD14	Cd14	Cd14
CD151	Cd151	Cd151
CTLA4	Ctla4	Ctla4
CD19	Cd19	Cd19
CD1D	Cd1d1	NA
CD2	Cd2	Cd2
MS4A1	Ms4a1	Ms4a1
CD22	Cd22	Cd22
CD24	Cd24a	Cd24
CD28	Cd28	Cd28
CD2AP	Cd2ap	Cd2ap
CD33	Cd33	NA
CD34	Cd34	Cd34
CD36	Cd36	NA
SCARB2	Scarb2	Scarb2
CD37	Cd37	Cd37
CD38	Cd38	Cd38
ENTPD1	Entpd1	Entpd1
ENTPD2	Entpd2	Entpd2
ENTPD6	Entpd6	Entpd6
ENTPD5	Entpd5	Entpd5
CD3D	Cd3d	Cd3d
CD3E	Cd3e	Cd3e
CD3G	Cd3g	Cd3g
CD247	Cd247	Cd247
CD4	Cd4	Cd4
CD44	Cd44	Cd44
CD48	Cd48	Cd48
CD5	Cd5	Cd5
CD53	Cd53	Cd53
CD6	Cd6	Cd6
CD63	Cd63	Cd63
CD68	Cd68	Cd68
CD7	Cd7	Cd7
CD72	Cd72	Cd72
CD79A	Cd79a	Cd79a
CD80	Cd80	Cd80
CD81	Cd81	Cd81
CD82	Cd82	Cd82
CD83	Cd83	Cd83
CD84	Cd84	Cd84
CD86	Cd86	Cd86
CD8A	Cd8a	Cd8a
CD8B	Cd8b1	Cd8b
CD9	Cd9	Cd9
CDC25A	Cdc25a	Cdc25a
CDC25B	Cdc25b	Cdc25b
CDC25C	Cdc25c	Cdc25c
CDK1	Cdk1	Cdk1
CDK11B	Cdk11b	Cdk11b
CDC37	Cdc37	Cdc37
CDC42	Cdc42	Cdc42
CDC45	Cdc45	Cdc45
CDC7	Cdc7	Cdc7
ARHGAP31	Arhgap31	Arhgap31
CDH1	Cdh1	Cdh1
CDH11	Cdh11	Cdh11
CDH13	Cdh13	Cdh13
CDH15	Cdh15	Cdh15
CDH16	Cdh16	Cdh16
CDH17	Cdh17	Cdh17
CDH2	Cdh2	Cdh2
CDH3	Cdh3	Cdh3
CDH4	Cdh4	Cdh4
CDH5	Cdh5	Cdh5
CDH6	Cdh6	Cdh6
CDH8	Cdh8	Cdh8
CDH9	Cdh9	Cdh9
CDK2	Cdk2	Cdk2
CDK4	Cdk4	Cdk4
CDK5	Cdk5	Cdk5
CDK5R1	Cdk5r1	Cdk5r1
CDK5R2	Cdk5r2	Cdk5r2
CDK6	Cdk6	Cdk6
CDK7	Cdk7	Cdk7
CDKN1A	Cdkn1a	Cdkn1a
CDKN1B	Cdkn1b	Cdkn1b
CDKN1C	Cdkn1c	Cdkn1c
CDKN2B	Cdkn2b	Cdkn2b
CDKN2C	Cdkn2c	Cdkn2c
CDKN2D	Cdkn2d	Cdkn2d
CDO1	Cdo1	Cdo1
CDR2	Cdr2	Cdr2
MIA	Mia	Mia
IFT81	Ift81	Ift81
CDX1	Cdx1	Cdx1
CDX2	Cdx2	Cdx2
CDX4	Cdx4	Cdx4
CDYL	Cdyl	Cdyl
CEBPA	Cebpa	Cebpa
CEBPZ	Cebpz	Cebpz
CEBPB	Cebpb	Cebpb
CEBPD	Cebpd	Cebpd
CEBPG	Cebpg	Cebpg
CEL	Cel	Cel
CELSR1	Celsr1	Celsr1
CENPA	Cenpa	Cenpa
CENPB	Cenpb	Cenpb
CENPC	Cenpc1	Cenpc
CER1	Cer1	Cer1
CETN3	Cetn3	Cetn3
CFC1	Cfc1	NA
CFH	Cfh	NA
CFI	Cfi	Cfi
CFL1	Cfl1	Cfl1
CFL2	Cfl2	Cfl2
CFLAR	Cflar	Cflar
CFTR	Cftr	Cftr
CGA	Cga	Cga
CH25H	Ch25h	Ch25h
CHAD	Chad	Chad
CHAT	Chat	Chat
CHD1	Chd1	Chd1
CHEK1	Chek1	Chek1
CHKB	Chkb	Chkb
CHGA	Chga	Chga
CHGB	Chgb	Chgb
CHI3L1	Chi3l1	Chi3l1
OVGP1	Ovgp1	NA
CHKA	Chka	Chka
CHL1	Chl1	Chl1
CHM	Chm	Chm
CHML	Chml	Chml
CHRD	Chrd	Chrd
CHRM1	Chrm1	Chrm1
CHRM3	Chrm3	Chrm3
CHRM4	Chrm4	Chrm4
CHUK	Chuk	Chuk
VSX2	Vsx2	Vsx2
CIDEA	Cidea	Cidea
CIDEB	Cideb	Cideb
ELOVL3	Elovl3	Elovl3
PATJ	Patj	Patj
CIRBP	Cirbp	Cirbp
CISH	Cish	Cish
SOCS3	Socs3	Socs3
SOCS1	Socs1	Socs1
CIT	Cit	Cit
CITED1	Cited1	Cited1
CKB	Ckb	Ckb
CKM	Ckm	Ckm
CKMT1B	Ckmt1	Ckmt1
CORO1A	Coro1a	Coro1a
CLCN1	Clcn1	Clcn1
CLCN2	Clcn2	Clcn2
CLCN3	Clcn3	Clcn3
CLCN4	Clcn4	Clcn4
CLCN5	Clcn5	Clcn5
CLNS1A	Clns1a	Clns1a
CLDN1	Cldn1	Cldn1
CLDN2	Cldn2	Cldn2
CLDN3	Cldn3	Cldn3
CLDN4	Cldn4	Cldn4
CLDN5	Cldn5	Cldn5
CLGN	Clgn	Clgn
CLK1	Clk1	Clk1
CLK2	Clk2	Clk2
CLK4	Clk4	Clk4
TPP1	Tpp1	Tpp1
CLN3	Cln3	Cln3
CLOCK	Clock	Clock
CLTA	Clta	Clta
CLU	Clu	Clu
CMAS	Cmas	Cmas
CXCR2	Cxcr2	Cxcr2
CXCR3	Cxcr3	Cxcr3
CXCR4	Cxcr4	Cxcr4
CCR1	Ccr1	Ccr1
CCR9	Ccr9	Ccr9
CCR3	Ccr3	Ccr3
CCR2	Ccr2	Ccr2
CCR4	Ccr4	Ccr4
CCR7	Ccr7	Ccr7
CCR8	Ccr8	Ccr8
CCR10	Ccr10	Ccr10
ACKR3	Ackr3	Ackr3
ABCC2	Abcc2	Abcc2
CNBP	Cnbp	Cnbp
CNGA1	Cnga1	Cnga1
CNGA2	Cnga2	Cnga2
CNGA3	Cnga3	Cnga3
CNIH1	Cnih1	Cnih1
CNIH2	Cnih2	Cnih2
PLK3	Plk3	Plk3
CAMP	Camp	Camp
CNN1	Cnn1	Cnn1
CNN2	Cnn2	Cnn2
CNP	Cnp	Cnp
CNR1	Cnr1	Cnr1
CNR2	Cnr2	Cnr2
CNTF	Cntf	Cntf
CNTFR	Cntfr	Cntfr
CNTN1	Cntn1	Cntn1
HPS3	Hps3	Hps3
COBL	Cobl	Cobl
COCH	Coch	Coch
COIL	Coil	Coil
COL10A1	Col10a1	Col10a1
COL11A1	Col11a1	Col11a1
COL11A2	Col11a2	Col11a2
COL12A1	Col12a1	Col12a1
COL13A1	Col13a1	Col13a1
COL14A1	Col14a1	Col14a1
COL15A1	Col15a1	Col15a1
COL17A1	Col17a1	Col17a1
COL18A1	Col18a1	Col18a1
COL19A1	Col19a1	Col19a1
COL2A1	Col2a1	Col2a1
COL3A1	Col3a1	Col3a1
COL4A1	Col4a1	Col4a1
COL4A2	Col4a2	Col4a2
COL4A3	Col4a3	Col4a3
COL4A4	Col4a4	NA
COL4A5	Col4a5	Col4a5
COL5A1	Col5a1	Col5a1
COL5A2	Col5a2	Col5a2
COL6A1	Col6a1	Col6a1
COL6A2	Col6a2	Col6a2
COL6A3	Col6a3	Col6a3
COL7A1	Col7a1	Col7a1
COL8A1	Col8a1	Col8a1
COL9A1	Col9a1	Col9a1
COL9A2	Col9a2	Col9a2
COL9A3	Col9a3	Col9a3
COL1A1	Col1a1	Col1a1
COL1A2	Col1a2	Col1a2
COMP	Comp	Comp
COMT	Comt	Comt
COPA	Copa	Copa
COPS2	Cops2	Cops2
COQ7	Coq7	Coq7
CORT	Cort	Cort
COX17	Cox17	Cox17
COX4I1	Cox4i1	Cox4i1
COX5A	Cox5a	Cox5a
COX5B	Cox5b	Cox5b
COX6A1	Cox6a1	Cox6a1
COX6A2	Cox6a2	Cox6a2
COX6C	Cox6c	Cox6c
COX7A1	Cox7a1	Cox7a1
COX7A2	Cox7a2	Cox7a2
COX7C	Cox7c	Cox7c
COX8A	Cox8a	Cox8a
CP	Cp	Cp
CPA3	Cpa3	Cpa3
CPD	Cpd	Cpd
CPE	Cpe	Cpe
CPEB1	Cpeb1	Cpeb1
CYS1	Cys1	Cys1
CPLX1	Cplx1	Cplx1
CPLX2	Cplx2	Cplx2
CPNE6	Cpne6	Cpne6
CPOX	Cpox	Cpox
CPT1A	Cpt1a	Cpt1a
CPT1B	Cpt1b	Cpt1b
CPT2	Cpt2	Cpt2
